,index,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Check,Active Cases
0,60515,,Afghanistan,33.93911,67.709953,2020-09-23,39145,1446,32610,39145,5089
1,60516,,Albania,41.1533,20.1683,2020-09-23,12787,370,7139,12787,5278
2,60517,,Algeria,28.0339,1.6596,2020-09-23,50400,1698,35428,50400,13274
3,60518,,Andorra,42.5063,1.5218,2020-09-23,1753,53,1203,1753,497
4,60519,,Angola,-11.2027,17.8739,2020-09-23,4363,159,1473,4363,2731
5,60520,,Antigua and Barbuda,17.0608,-61.7964,2020-09-23,97,3,92,97,2
6,60521,,Argentina,-38.4161,-63.6167,2020-09-23,664799,14376,525486,664799,124937
7,60522,,Armenia,40.0691,45.0382,2020-09-23,47877,942,43026,47877,3909
8,60523,Australian Capital Territory,Australia,-35.4735,149.0124,2020-09-23,113,3,110,113,0
9,60524,New South Wales,Australia,-33.8688,151.2093,2020-09-23,4213,53,3113,4213,1047
10,60525,Northern Territory,Australia,-12.4634,130.8456,2020-09-23,33,0,31,33,2
11,60526,Queensland,Australia,-27.4698,153.0251,2020-09-23,1153,6,1125,1153,22
12,60527,South Australia,Australia,-34.9285,138.6007,2020-09-23,468,4,462,468,2
13,60528,Tasmania,Australia,-42.8821,147.3272,2020-09-23,230,13,217,230,0
14,60529,Victoria,Australia,-37.8136,144.9631,2020-09-23,20105,773,18738,20105,594
15,60530,Western Australia,Australia,-31.9505,115.8605,2020-09-23,665,9,650,665,6
16,60531,,Austria,47.5162,14.5501,2020-09-23,39984,777,30949,39984,8258
17,60532,,Azerbaijan,40.1431,47.5769,2020-09-23,39524,580,37122,39524,1822
18,60533,,Bahamas,25.025885,-78.035889,2020-09-23,3618,80,1915,3618,1623
19,60534,,Bahrain,26.0275,50.55,2020-09-23,67014,231,60117,67014,6666
20,60535,,Bangladesh,23.685,90.3563,2020-09-23,353844,5044,262953,353844,85847
21,60536,,Barbados,13.1939,-59.5432,2020-09-23,189,7,174,189,8
22,60537,,Belarus,53.7098,27.9534,2020-09-23,76357,796,73564,76357,1997
23,60538,,Belgium,50.8333,4.469936,2020-09-23,106887,9959,19079,106887,77849
24,60539,,Belize,17.1899,-88.4976,2020-09-23,1706,22,1019,1706,665
25,60540,,Benin,9.3077,2.3158,2020-09-23,2325,40,1954,2325,331
26,60541,,Bhutan,27.5142,90.4336,2020-09-23,261,0,196,261,65
